ResponseID	Which of the following best describes your work position
r01235	Designer
r01236	Front-end Developer
r01237	Supervisor/Team Lead
r01238	Back-end Developer
r01239	One-person shop
r01240	Back-end Developer
r01241	Supervisor/Team Lead
r01242	Back-end Developer
r01243	Supervisor/Team Lead
r01243	Back-end Developer
r01244	Back-end Developer
r01244	Dev Evangelist/Advocate
r01244	Supervisor/Team Lead
r01245	Back-end Developer
r01246	Other
r01247	Other
r01247	One-person shop
r01247	Designer
r01247	Front-end Developer
r01248	Support
r01248	Back-end Developer
r01248	Front-end Developer
r01248	One-person shop
r01249	Back-end Developer
r01249	Front-end Developer
r01250	Back-end Developer
r01251	Executive Leadership
r01252	One-person shop
r01252	Designer
r01252	Sales
r01252	Support
r01252	Supervisor/Team Lead
r01253	Back-end Developer
r01254	Back-end Developer
r01254	Front-end Developer
r01254	One-person shop
r01255	DevOps/SysAdmin
r01255	Support
r01255	Back-end Developer
r01255	One-person shop
r01255	Front-end Developer
r01256	Back-end Developer
r01257	Executive Leadership
r01258	DevOps/SysAdmin
r01259	Back-end Developer
r01260	DevOps/SysAdmin
r01260	Support
r01261	Support
r01261	Sales
r01261	Back-end Developer
r01261	Front-end Developer
r01261	Designer
r01261	One-person shop
r01262	One-person shop
r01262	Designer
r01263	Dev Evangelist/Advocate
r01263	DevOps/SysAdmin
r01263	Designer
r01263	Front-end Developer
r01263	Back-end Developer
r01264	Other
r01265	One-person shop
r01266	DevOps/SysAdmin
r01266	Back-end Developer
r01266	Front-end Developer
r01266	Designer
r01267	Front-end Developer
r01267	Back-end Developer
r01268	Other
r01268	DevOps/SysAdmin
r01268	Back-end Developer
r01269	Supervisor/Team Lead
r01270	Dev Evangelist/Advocate
r01271	Back-end Developer
r01271	DevOps/SysAdmin
r01272	Supervisor/Team Lead
r01273	DevOps/SysAdmin
r01273	Support
r01273	Back-end Developer
r01273	Front-end Developer
r01274	Back-end Developer
r01275	Executive Leadership
r01276	One-person shop
r01277	Other
r01277	Dev Evangelist/Advocate
r01278	Back-end Developer
r01279	Supervisor/Team Lead
r01279	Back-end Developer
r01279	One-person shop
r01280	DevOps/SysAdmin
r01281	Back-end Developer
r01282	Back-end Developer
r01282	Front-end Developer
r01283	Front-end Developer
r01284	Dev Evangelist/Advocate
r01284	DevOps/SysAdmin
r01284	Back-end Developer
r01285	Other
r01286	Supervisor/Team Lead
r01286	Front-end Developer
r01286	Designer
r01287	Back-end Developer
r01288	Front-end Developer
r01288	Back-end Developer
r01288	DevOps/SysAdmin
r01288	Supervisor/Team Lead
r01289	Support
r01289	Front-end Developer
r01289	Back-end Developer
r01290	Other
r01290	Supervisor/Team Lead
r01291	Back-end Developer
r01292	Back-end Developer
r01293	One-person shop
r01294	Other
r01295	Sales
r01296	Executive Leadership
r01297	DevOps/SysAdmin
r01298	Back-end Developer
r01299	Designer
r01299	Front-end Developer
r01300	Back-end Developer
r01301	Executive Leadership
r01301	Supervisor/Team Lead
r01301	Dev Evangelist/Advocate
r01301	Back-end Developer
r01302	Front-end Developer
r01303	Support
r01304	Other
r01305	One-person shop
r01305	Designer
r01305	Sales
r01305	Executive Leadership
r01306	Back-end Developer
r01307	Other
r01308	Other
r01309	DevOps/SysAdmin
r01309	Back-end Developer
r01309	Front-end Developer
r01309	One-person shop
r01310	DevOps/SysAdmin
r01311	Supervisor/Team Lead
r01311	DevOps/SysAdmin
r01311	Back-end Developer
r01312	Support
r01312	Back-end Developer
r01312	Front-end Developer
r01312	Designer
r01313	Supervisor/Team Lead
r01313	Support
r01313	One-person shop
r01313	Designer
r01313	Front-end Developer
r01313	Sales
r01314	Support
r01315	One-person shop
r01315	Designer
r01315	Support
r01316	Front-end Developer
r01317	Back-end Developer
r01318	Back-end Developer
r01319	Dev Evangelist/Advocate
r01319	DevOps/SysAdmin
r01319	Support
r01319	Back-end Developer
r01319	Front-end Developer
r01319	One-person shop
r01320	Supervisor/Team Lead
r01321	Other
r01322	Back-end Developer
r01322	Front-end Developer
r01323	Supervisor/Team Lead
r01323	Back-end Developer
r01323	Front-end Developer
r01324	Supervisor/Team Lead
r01325	Supervisor/Team Lead
r01325	DevOps/SysAdmin
r01325	Back-end Developer
r01326	Other
r01326	Front-end Developer
r01326	Designer
r01326	One-person shop
r01327	Executive Leadership
r01328	Back-end Developer
r01329	Back-end Developer
r01330	Designer
r01331	Back-end Developer
r01331	Front-end Developer
r01332	One-person shop
r01332	Designer
r01332	Front-end Developer
r01332	Support
r01332	Dev Evangelist/Advocate
r01333	Back-end Developer
r01333	Front-end Developer
r01334	Front-end Developer
r01335	Front-end Developer
r01336	Front-end Developer
r01336	Supervisor/Team Lead
r01337	Front-end Developer
r01337	Back-end Developer
r01338	Front-end Developer
r01339	Front-end Developer
r01340	Front-end Developer
r01341	Front-end Developer
r01342	Designer
r01342	Front-end Developer
r01343	Front-end Developer
r01343	Designer
r01344	Front-end Developer
r01345	Back-end Developer
r01345	Front-end Developer
r01346	Front-end Developer
r01347	Designer
r01347	Front-end Developer
r01347	Back-end Developer
r01347	Other
r01348	DevOps/SysAdmin
r01348	Front-end Developer
r01348	Back-end Developer
r01348	Support
r01349	Front-end Developer
r01349	Designer
r01350	Front-end Developer
r01351	DevOps/SysAdmin
r01352	Back-end Developer
r01353	Front-end Developer
r01354	Executive Leadership
r01354	Supervisor/Team Lead
r01354	Front-end Developer
r01355	Supervisor/Team Lead
r01356	Front-end Developer
r01356	Back-end Developer
r01357	Back-end Developer
r01358	DevOps/SysAdmin
r01359	Back-end Developer
r01359	Front-end Developer
r01360	Back-end Developer
r01361	Dev Evangelist/Advocate
r01362	Back-end Developer
r01363	Back-end Developer
r01363	Front-end Developer
r01364	Designer
r01365	Front-end Developer
r01366	DevOps/SysAdmin
r01367	One-person shop
r01367	DevOps/SysAdmin
r01368	DevOps/SysAdmin
r01368	Back-end Developer
r01368	Front-end Developer
r01369	One-person shop
r01369	Front-end Developer
r01369	Back-end Developer
r01369	DevOps/SysAdmin
r01369	Supervisor/Team Lead
r01369	Executive Leadership
r01370	Front-end Developer
r01371	Back-end Developer
r01372	Dev Evangelist/Advocate
r01373	DevOps/SysAdmin
r01374	Support
r01374	Back-end Developer
r01374	Front-end Developer
r01374	One-person shop
r01375	Front-end Developer
r01375	Back-end Developer
r01376	Executive Leadership
r01377	Other
r01378	DevOps/SysAdmin
r01378	Support
r01378	Back-end Developer
r01378	Front-end Developer
r01379	Front-end Developer
r01380	Supervisor/Team Lead
r01381	Supervisor/Team Lead
r01382	One-person shop
r01383	Back-end Developer
r01384	Front-end Developer
r01384	Designer
r01385	Back-end Developer
r01386	Supervisor/Team Lead
r01386	Back-end Developer
r01387	Other
r01388	Supervisor/Team Lead
r01388	DevOps/SysAdmin
r01388	Back-end Developer
r01388	Front-end Developer
r01389	Back-end Developer
r01389	Supervisor/Team Lead
r01390	Back-end Developer
r01390	Front-end Developer
r01391	Back-end Developer
r01392	Other
r01393	Other
r01393	Back-end Developer
r01394	DevOps/SysAdmin
r01395	Back-end Developer
r01396	Executive Leadership
r01397	Front-end Developer
r01398	Back-end Developer
r01398	Front-end Developer
r01399	Other
r01399	Back-end Developer
r01400	Dev Evangelist/Advocate
r01401	Supervisor/Team Lead
r01401	Back-end Developer
r01402	DevOps/SysAdmin
r01403	Front-end Developer
r01403	Back-end Developer
r01404	One-person shop
r01404	Designer
r01404	Front-end Developer
r01404	Back-end Developer
r01404	Dev Evangelist/Advocate
r01404	Supervisor/Team Lead
r01405	Back-end Developer
r01406	Supervisor/Team Lead
r01406	DevOps/SysAdmin
r01406	Support
r01406	Back-end Developer
r01406	Front-end Developer
r01406	Designer
r01407	Supervisor/Team Lead
r01407	DevOps/SysAdmin
r01407	Back-end Developer
r01407	Front-end Developer
r01408	One-person shop
r01409	Executive Leadership
r01410	Other
r01410	Supervisor/Team Lead
r01410	Dev Evangelist/Advocate
r01411	Other
r01412	Other
r01413	Front-end Developer
r01414	HR
r01415	Front-end Developer
r01415	Back-end Developer
r01416	Front-end Developer
r01417	Back-end Developer
r01417	DevOps/SysAdmin
r01418	Back-end Developer
r01419	Supervisor/Team Lead
r01419	Back-end Developer
r01419	Designer
r01420	Back-end Developer
r01420	DevOps/SysAdmin
r01420	Supervisor/Team Lead
r01420	Executive Leadership
r01421	Front-end Developer
r01421	Back-end Developer
r01421	Supervisor/Team Lead
r01422	Front-end Developer
r01423	Back-end Developer
r01424	Back-end Developer
r01424	Front-end Developer
r01425	Supervisor/Team Lead
r01425	Front-end Developer
r01425	Back-end Developer
r01425	DevOps/SysAdmin
r01425	Dev Evangelist/Advocate
r01426	Other
r01427	Support
r01428	Other
r01429	Support
r01430	Back-end Developer
r01431	DevOps/SysAdmin
r01432	Other
